userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,,Expertise
,9.26,0.30,0.28,0.11,8,6,spatialAlternatedPitch,5,2,,1,1
,11.36,0.07,0.06,0.02,9,6,spatialAlternatedPitch,5,2,,1,1
,14.92,0.09,0.08,0.04,10,6,spatialAlternatedPitch,5,2,,1,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,Avg 2D distance,musicalTheoryRating,
,,,,,,,,,,#DIV/0!,7,
,Time (s),2D Dist,X Dist,Y Dist,,,,,,#DIV/0!,6,
N = 170,18.16,2.04,0.77,1.46,,,,,,#DIV/0!,5,
,,,,,,,,,,#DIV/0!,4,
,,,X target,Y target,2D target,,,,,#DIV/0!,3,
,Acc:,,0.8833333333,0.7,0.6166666667,,,,,2.66550706,2,
,,,,,,,,,,0.774389631,1,
BVI ONLY,Time (s),2D Dist,X Dist,Y Dist,,,,,,,,
N = 20,#REF!,#REF!,#REF!,#REF!,,less error-prone,,,,,,
,,,,,,,,,,Avg 2D distance,musicalTheoryRating,
,,,X target,Y target,2D target,,,,0,#DIV/0!,Some/High,
,Acc:,,#DIV/0!,#DIV/0!,#DIV/0!,more accurate,,,60,2.035134584,Low/None,
,,,,,,,,,,,,
SIGHTED ONLY,Time (s),2D Dist,X Dist,Y Dist,,,,,,,,
N = 150,18.16,2.04,0.77,1.46,,,,,,,,
,,,,,,,,,,,,
,,,X target,Y target,2D target,,,,,,,
,Acc:,,0.8833333333,0.7,0.6166666667,,,,,,,
