userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,
27/08/2021 8:32:31 AM,38.74,0.09,0.09,0.02,1,1,spatialAlternatedPitch,8,1,
27/08/2021 8:32:31 AM,12.53,0.09,0.04,0.08,2,1,spatialAlternatedPitch,8,1,
27/08/2021 8:32:31 AM,6.24,0.08,0.05,0.06,3,1,spatialAlternatedPitch,8,1,
27/08/2021 8:32:31 AM,17.30,0.10,0.04,0.09,4,1,spatialAlternatedPitch,8,1,
27/08/2021 8:32:31 AM,3.95,0.07,0.05,0.05,5,1,spatialAlternatedPitch,8,1,
27/08/2021 8:32:31 AM,14.88,0.12,0.10,0.07,6,1,spatialAlternatedPitch,8,1,
27/08/2021 8:32:31 AM,12.53,0.17,0.17,0.03,7,1,spatialAlternatedPitch,8,1,
27/08/2021 8:32:31 AM,15.38,0.10,0.10,0.03,8,1,spatialAlternatedPitch,8,1,
27/08/2021 8:32:31 AM,13.63,0.05,0.00,0.05,9,1,spatialAlternatedPitch,8,1,
27/08/2021 8:32:31 AM,12.56,0.19,0.14,0.12,10,1,spatialAlternatedPitch,8,1,
27/08/2021 4:51:02 PM,10.33,0.16,0.13,0.10,1,2,spatialAlternatedPitch,5,4,
27/08/2021 4:51:02 PM,15.78,0.14,0.14,0.01,2,2,spatialAlternatedPitch,5,4,
27/08/2021 4:51:02 PM,28.55,1.61,1.60,0.21,3,2,spatialAlternatedPitch,5,4,
27/08/2021 4:51:02 PM,19.90,0.34,0.34,0.05,4,2,spatialAlternatedPitch,5,4,
27/08/2021 4:51:02 PM,20.85,0.40,0.28,0.28,5,2,spatialAlternatedPitch,5,4,
27/08/2021 4:51:02 PM,19.02,0.11,0.10,0.05,6,2,spatialAlternatedPitch,5,4,
27/08/2021 4:51:02 PM,22.27,10.08,10.08,0.06,7,2,spatialAlternatedPitch,5,4,
27/08/2021 4:51:02 PM,18.10,2.47,2.46,0.10,8,2,spatialAlternatedPitch,5,4,
27/08/2021 4:51:02 PM,11.67,0.31,0.21,0.22,9,2,spatialAlternatedPitch,5,4,
27/08/2021 4:51:02 PM,7.88,0.27,0.21,0.16,10,2,spatialAlternatedPitch,5,4,
27/08/2021 21:32:21,32.92,2.89,0.23,2.88,1,2,spatialAlternatedPitch,7,4,
27/08/2021 21:32:21,20.50,1.95,0.05,1.95,2,2,spatialAlternatedPitch,7,4,
27/08/2021 21:32:21,29.00,2.61,0.06,2.61,3,2,spatialAlternatedPitch,7,4,
27/08/2021 21:32:21,17.05,1.50,0.01,1.50,4,2,spatialAlternatedPitch,7,4,
27/08/2021 21:32:21,20.85,0.74,0.40,0.62,5,2,spatialAlternatedPitch,7,4,
27/08/2021 21:32:21,14.18,4.51,0.07,4.51,6,2,spatialAlternatedPitch,7,4,
27/08/2021 21:32:21,11.47,1.57,0.06,1.57,7,2,spatialAlternatedPitch,7,4,
27/08/2021 21:32:21,7.75,0.54,0.13,0.52,8,2,spatialAlternatedPitch,7,4,
27/08/2021 21:32:21,20.10,2.18,0.17,2.17,9,2,spatialAlternatedPitch,7,4,
27/08/2021 21:32:21,16.30,6.26,0.07,6.26,10,2,spatialAlternatedPitch,7,4,
27/08/2021 20:44:17,26.53,1.72,0.53,1.64,1,1,spatialAlternatedPitch,2,1,
27/08/2021 20:44:17,5.18,2.10,0.11,2.10,2,1,spatialAlternatedPitch,2,1,
27/08/2021 20:44:17,13.05,0.31,0.25,0.18,3,1,spatialAlternatedPitch,2,1,
27/08/2021 20:44:17,11.25,0.42,0.21,0.37,4,1,spatialAlternatedPitch,2,1,
27/08/2021 20:44:17,26.55,0.20,0.03,0.20,5,1,spatialAlternatedPitch,2,1,
27/08/2021 20:44:17,19.08,0.34,0.07,0.33,6,1,spatialAlternatedPitch,2,1,
27/08/2021 20:44:17,19.13,0.24,0.19,0.15,7,1,spatialAlternatedPitch,2,1,
27/08/2021 20:44:17,18.37,7.46,7.43,0.65,8,1,spatialAlternatedPitch,2,1,
27/08/2021 20:44:17,28.48,1.07,0.22,1.05,9,1,spatialAlternatedPitch,2,1,
27/08/2021 20:44:17,13.03,0.21,0.21,0.05,10,1,spatialAlternatedPitch,2,1,
8/29/2021 9:26:51 PM,40.42,26.20,1.00,26.18,1,0,spatialAlternatedPitch,6,5,8/29/2021 21:51:32
8/29/2021 9:26:51 PM,11.89,11.47,0.37,11.47,2,0,spatialAlternatedPitch,6,5,
8/29/2021 9:26:51 PM,15.72,16.90,1.28,16.86,3,0,spatialAlternatedPitch,6,5,
8/29/2021 9:26:51 PM,19.64,17.83,0.40,17.83,4,0,spatialAlternatedPitch,6,5,
8/29/2021 9:26:51 PM,20.18,20.94,0.04,20.94,5,0,spatialAlternatedPitch,6,5,
8/29/2021 9:26:51 PM,24.43,41.77,0.20,41.77,6,0,spatialAlternatedPitch,6,5,
8/29/2021 9:26:51 PM,13.27,17.06,0.19,17.06,7,0,spatialAlternatedPitch,6,5,
8/29/2021 9:26:51 PM,10.82,9.66,0.15,9.66,8,0,spatialAlternatedPitch,6,5,
8/29/2021 9:26:51 PM,17.31,27.83,0.52,27.83,9,0,spatialAlternatedPitch,6,5,
8/29/2021 9:26:51 PM,11.31,24.76,0.38,24.75,10,0,spatialAlternatedPitch,6,5,
19/08/2021 2:25:19 p.m.,5.84,1.60,0.40,1.55,1,2,spatialAlternatedPitch,2,4,
19/08/2021 2:25:19 p.m.,2.41,4.59,0.26,4.58,2,2,spatialAlternatedPitch,2,4,
19/08/2021 2:25:19 p.m.,1.08,3.75,0.02,3.75,3,2,spatialAlternatedPitch,2,4,
19/08/2021 2:25:19 p.m.,3.10,2.00,0.16,1.99,4,2,spatialAlternatedPitch,2,4,
19/08/2021 2:25:19 p.m.,3.36,2.39,0.15,2.39,5,2,spatialAlternatedPitch,2,4,
19/08/2021 2:25:19 p.m.,2.58,2.58,0.18,2.57,6,2,spatialAlternatedPitch,2,4,
19/08/2021 2:25:19 p.m.,6.49,1.18,0.15,1.17,7,2,spatialAlternatedPitch,2,4,
19/08/2021 2:25:19 p.m.,3.38,2.51,0.33,2.49,8,2,spatialAlternatedPitch,2,4,
19/08/2021 2:25:19 p.m.,3.44,3.35,0.33,3.33,9,2,spatialAlternatedPitch,2,4,
19/08/2021 2:25:19 p.m.,3.31,2.43,0.08,2.43,10,2,spatialAlternatedPitch,2,4,
4/8/2021 9:55:34 AM,29.37,0.03,0.00,0.03,1,3,spatialAlternatedPitch,3,6,4/8/2021 9:55:34 AM
4/8/2021 9:55:34 AM,11.12,0.18,0.18,0.03,2,3,spatialAlternatedPitch,3,6,
4/8/2021 9:55:34 AM,17.10,0.24,0.24,0.00,3,3,spatialAlternatedPitch,3,6,
4/8/2021 9:55:34 AM,9.85,0.16,0.13,0.10,4,3,spatialAlternatedPitch,3,6,
4/8/2021 9:55:34 AM,13.30,0.22,0.15,0.15,5,3,spatialAlternatedPitch,3,6,
4/8/2021 9:55:34 AM,28.25,0.24,0.24,0.00,6,3,spatialAlternatedPitch,3,6,
4/8/2021 9:55:34 AM,9.33,0.34,0.34,0.05,7,3,spatialAlternatedPitch,3,6,
4/8/2021 9:55:34 AM,10.04,0.08,0.08,0.01,8,3,spatialAlternatedPitch,3,6,
4/8/2021 9:55:34 AM,4.87,0.18,0.14,0.11,9,3,spatialAlternatedPitch,3,6,
4/8/2021 9:55:34 AM,20.20,0.04,0.04,0.01,10,3,spatialAlternatedPitch,3,6,
,12.88,5.29,0.35,5.28,1,4,spatialAlternatedPitch,3,0,yho
,14.52,0.76,0.08,0.76,2,4,spatialAlternatedPitch,3,0,
,35.03,2.28,2.28,0.11,3,4,spatialAlternatedPitch,3,0,
,35.90,1.74,0.11,1.74,4,4,spatialAlternatedPitch,3,0,
,8.53,0.64,0.32,0.56,5,4,spatialAlternatedPitch,3,0,
,22.53,0.38,0.32,0.21,6,4,spatialAlternatedPitch,3,0,
,15.72,5.73,0.22,5.73,7,4,spatialAlternatedPitch,3,0,
