userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,age
31/08/2021 14:20:07,45.60,26.69,26.68,0.62,3,2,spatialHarmonicsTwoD,8,2,,57
31/08/2021 14:20:07,27.48,1.47,1.25,0.77,4,2,spatialHarmonicsTwoD,8,2,,57
31/08/2021 14:20:07,4.38,0.39,0.39,0.06,5,2,spatialHarmonicsTwoD,8,2,,57
31/08/2021 14:20:07,73.03,1.32,1.32,0.01,6,2,spatialHarmonicsTwoD,8,2,,57
31/08/2021 14:20:07,10.28,0.20,0.09,0.18,7,2,spatialHarmonicsTwoD,8,2,,57
31/08/2021 14:20:07,33.85,2.81,2.60,1.05,8,2,spatialHarmonicsTwoD,8,2,,57
31/08/2021 14:20:07,13.35,0.52,0.52,0.06,9,2,spatialHarmonicsTwoD,8,2,,57
31/08/2021 14:20:07,33.15,5.52,5.46,0.81,10,2,spatialHarmonicsTwoD,8,2,,57
4/8/2021 9:55:34 AM,11.40,0.54,0.39,0.37,1,1,spatialHarmonicsTwoD,4,6,4/8/2021 9:55:34 AM,60
4/8/2021 9:55:34 AM,18.38,0.41,0.17,0.37,2,1,spatialHarmonicsTwoD,4,6,,60
4/8/2021 9:55:34 AM,13.60,0.14,0.04,0.13,3,1,spatialHarmonicsTwoD,4,6,,60
4/8/2021 9:55:34 AM,19.58,0.44,0.35,0.27,4,1,spatialHarmonicsTwoD,4,6,,60
4/8/2021 9:55:34 AM,16.55,0.17,0.05,0.16,5,1,spatialHarmonicsTwoD,4,6,,60
4/8/2021 9:55:34 AM,4.58,0.27,0.18,0.20,6,1,spatialHarmonicsTwoD,4,6,,60
4/8/2021 9:55:34 AM,21.53,0.10,0.07,0.07,7,1,spatialHarmonicsTwoD,4,6,,60
4/8/2021 9:55:34 AM,10.45,0.23,0.00,0.23,8,1,spatialHarmonicsTwoD,4,6,,60
4/8/2021 9:55:34 AM,12.38,0.06,0.04,0.04,9,1,spatialHarmonicsTwoD,4,6,,60
4/8/2021 9:55:34 AM,8.97,0.36,0.35,0.10,10,1,spatialHarmonicsTwoD,4,6,,60
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Time (s),2D Dist,X Dist,Y Dist,,,,50+,1.492966838,50,
N = 170,21.38,1.49,1.19,0.58,,,,40+,1.492966838,50,
,,,,,,,,35+,1.492966838,50,
,,,X target,Y target,2D target,,,34-,#DIV/0!,0,
,Acc:,,0.88,0.92,0.84,,,25 - 35,#DIV/0!,0,
,,,,,,,,24-,#DIV/0!,0,
