userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,musical theory 7,musical theory 2,Audio speed
24/08/2021 19:34:05,26.88,3.70,0.25,3.69,1,1,spatialHarmonicsTwoD,1,6,8/24/2021 18:54:56,2,1,1
24/08/2021 19:34:05,17.37,1.97,1.97,0.15,2,1,spatialHarmonicsTwoD,1,6,,2,1,1
24/08/2021 19:34:05,29.03,0.08,0.05,0.07,3,1,spatialHarmonicsTwoD,1,6,,2,1,1
24/08/2021 19:34:05,227.06,2.38,2.36,0.26,4,1,spatialHarmonicsTwoD,1,6,,2,1,1
24/08/2021 19:34:05,39.10,3.93,1.09,3.78,5,1,spatialHarmonicsTwoD,1,6,,2,1,1
24/08/2021 19:34:05,8.67,1.92,1.92,0.06,6,1,spatialHarmonicsTwoD,1,6,,2,1,1
24/08/2021 19:34:05,12.15,1.96,1.96,0.09,7,1,spatialHarmonicsTwoD,1,6,,2,1,1
24/08/2021 19:34:05,4.25,4.67,2.10,4.17,8,1,spatialHarmonicsTwoD,1,6,,2,1,1
24/08/2021 19:34:05,6.17,1.51,1.10,1.03,9,1,spatialHarmonicsTwoD,1,6,,2,1,1
24/08/2021 19:34:05,29.74,4.31,2.07,3.78,10,1,spatialHarmonicsTwoD,1,6,,2,1,1
25/08/2021 00:50:10,75.85,12.59,6.22,10.94,1,1,spatialHarmonicsTwoD,3,6,8/25/2021 1:31:37,1,1,1
25/08/2021 00:50:10,65.40,16.82,15.35,6.87,2,1,spatialHarmonicsTwoD,3,6,,1,1,1
25/08/2021 00:50:10,4.07,12.56,6.26,10.89,3,1,spatialHarmonicsTwoD,3,6,,1,1,1
25/08/2021 00:50:10,24.30,9.91,0.86,9.87,4,1,spatialHarmonicsTwoD,3,6,,1,1,1
25/08/2021 00:50:10,8.03,13.08,9.22,9.28,5,1,spatialHarmonicsTwoD,3,6,,1,1,1
25/08/2021 00:50:10,9.80,8.47,3.54,7.70,6,1,spatialHarmonicsTwoD,3,6,,1,1,1
25/08/2021 00:50:10,46.58,12.13,0.02,12.13,7,1,spatialHarmonicsTwoD,3,6,,1,1,1
25/08/2021 00:50:10,80.27,6.85,3.15,6.08,8,1,spatialHarmonicsTwoD,3,6,,1,1,1
25/08/2021 00:50:10,6.83,11.74,8.79,7.78,9,1,spatialHarmonicsTwoD,3,6,,1,1,1
25/08/2021 00:50:10,15.73,11.43,6.97,9.06,10,1,spatialHarmonicsTwoD,3,6,,1,1,1
8/25/2021 4:52:44 PM,76.65,5.82,0.11,5.82,1,0,spatialHarmonicsTwoD,0,4,8/25/2021 15:08:49,3,2,1
8/25/2021 4:52:44 PM,52.89,9.31,0.23,9.31,2,0,spatialHarmonicsTwoD,0,4,,3,2,1
8/25/2021 4:52:44 PM,13.31,6.22,0.16,6.22,3,0,spatialHarmonicsTwoD,0,4,,3,2,1
8/25/2021 4:52:44 PM,31.34,9.96,0.31,9.96,4,0,spatialHarmonicsTwoD,0,4,,3,2,1
8/25/2021 4:52:44 PM,237.55,0.29,0.07,0.28,5,0,spatialHarmonicsTwoD,0,4,,3,2,1
8/25/2021 4:52:44 PM,20.68,0.22,0.00,0.22,6,0,spatialHarmonicsTwoD,0,4,,3,2,1
8/25/2021 4:52:44 PM,27.43,0.38,0.23,0.30,7,0,spatialHarmonicsTwoD,0,4,,3,2,1
8/25/2021 4:52:44 PM,7.92,0.30,0.20,0.22,8,0,spatialHarmonicsTwoD,0,4,,3,2,1
8/25/2021 4:52:44 PM,46.23,0.23,0.01,0.23,9,0,spatialHarmonicsTwoD,0,4,,3,2,1
