userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,musicalTheoryRating,musicalTheoryRating
19/08/2021 2:25:19 p.m.,8.77,3.87,0.15,3.87,2,0,spatialHarmonicsTwoD,4,4,,5,2
19/08/2021 2:25:19 p.m.,3.13,8.10,7.83,2.07,3,0,spatialHarmonicsTwoD,4,4,,5,2
19/08/2021 2:25:19 p.m.,11.76,7.39,6.14,4.11,4,0,spatialHarmonicsTwoD,4,4,,5,2
19/08/2021 2:25:19 p.m.,3.49,11.60,8.37,8.03,5,0,spatialHarmonicsTwoD,4,4,,5,2
19/08/2021 2:25:19 p.m.,11.36,2.37,1.70,1.65,6,0,spatialHarmonicsTwoD,4,4,,5,2
19/08/2021 2:25:19 p.m.,3.99,4.26,1.98,3.77,7,0,spatialHarmonicsTwoD,4,4,,5,2
19/08/2021 2:25:19 p.m.,3.25,3.85,0.24,3.84,8,0,spatialHarmonicsTwoD,4,4,,5,2
19/08/2021 2:25:19 p.m.,3.96,4.63,4.05,2.26,9,0,spatialHarmonicsTwoD,4,4,,5,2
19/08/2021 2:25:19 p.m.,3.58,1.38,0.06,1.38,10,0,spatialHarmonicsTwoD,4,4,,5,2
30/08/2021 9:35:39 PM,32.36,0.21,0.10,0.18,1,2,spatialHarmonicsTwoD,0,2,8/30/2021 10:56:22,7,2
30/08/2021 9:35:39 PM,16.90,0.22,0.15,0.17,2,2,spatialHarmonicsTwoD,0,2,,7,2
30/08/2021 9:35:39 PM,18.00,0.40,0.36,0.17,3,2,spatialHarmonicsTwoD,0,2,,7,2
30/08/2021 9:35:39 PM,27.09,0.14,0.14,0.03,4,2,spatialHarmonicsTwoD,0,2,,7,2
30/08/2021 9:35:39 PM,14.04,0.16,0.16,0.04,5,2,spatialHarmonicsTwoD,0,2,,7,2
30/08/2021 9:35:39 PM,8.11,0.19,0.18,0.05,6,2,spatialHarmonicsTwoD,0,2,,7,2
30/08/2021 9:35:39 PM,19.12,0.39,0.10,0.38,7,2,spatialHarmonicsTwoD,0,2,,7,2
30/08/2021 9:35:39 PM,4.25,0.21,0.02,0.21,8,2,spatialHarmonicsTwoD,0,2,,7,2
