userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,,
N = 178,13.84,2.76,2.50,0.82,,,,,,,,
,,,,,,,,,,Avg 2D distance,musicalTheoryRating,
,,,X target,Y target,2D target,,,,,#DIV/0!,7,
,Acc:,,0.8,0.9,0.7833333333,,,,,#DIV/0!,6,
,,,,,,,,,,#DIV/0!,5,
BVI ONLY,Time (s),2D Dist,X Dist,Y Dist,,,,,,#DIV/0!,4,
N = 60,9.96,7.13,6.70,1.81,,more error-prone,,,,#DIV/0!,3,
,,,,,,,,,,1.6985694,2,
,,,X target,Y target,2D target,,,,,2.976217724,1,
,Acc:,,0.5,0.75,0.5,more accurate,,,,,,
,,,,,,,,,,,,
SIGHTED ONLY,Time (s),2D Dist,X Dist,Y Dist,,,,,,Avg 2D distance,musicalTheoryRating,
N = 118,15.77,0.58,0.40,0.33,,,,,0,#DIV/0!,Some/High,
,,,,,,,,,60,2.763276336,Low/None,
,,,X target,Y target,2D target,,,,,,,
,Acc:,,0.95,0.975,0.925,,,,,,,
