userTimeStamp,timeTaken,totalDistance,Xdist,Ydist,stepCount (is tutorial?),buttonCount (currentMode),modeName,positionSeed,modeSeed,,musical theory 7,musical theory 2,Audio speed
8/29/2021 9:26:51 PM,15.72,16.90,1.28,16.86,3,0,spatialAlternatedPitch,6,5,,5,2,1
8/29/2021 9:26:51 PM,19.64,17.83,0.40,17.83,4,0,spatialAlternatedPitch,6,5,,5,2,1
8/29/2021 9:26:51 PM,20.18,20.94,0.04,20.94,5,0,spatialAlternatedPitch,6,5,,5,2,1
8/29/2021 9:26:51 PM,24.43,41.77,0.20,41.77,6,0,spatialAlternatedPitch,6,5,,5,2,1
8/29/2021 9:26:51 PM,13.27,17.06,0.19,17.06,7,0,spatialAlternatedPitch,6,5,,5,2,1
8/29/2021 9:26:51 PM,10.82,9.66,0.15,9.66,8,0,spatialAlternatedPitch,6,5,,5,2,1
8/29/2021 9:26:51 PM,17.31,27.83,0.52,27.83,9,0,spatialAlternatedPitch,6,5,,5,2,1
8/29/2021 9:26:51 PM,11.31,24.76,0.38,24.75,10,0,spatialAlternatedPitch,6,5,,5,2,1
06/09/2021 16:10:32,13.90006,0.2424816,0.2416553,0.01999993,1,2,spatialAlternatedPitch,4,4,9/6/2021 16:44:09,5,2,1
06/09/2021 16:10:32,22.58353,0.1000494,0.08665657,0.0500052,2,2,spatialAlternatedPitch,4,4,,5,2,1
06/09/2021 16:10:32,30.98322,0.3244905,0.1799841,0.2699997,3,2,spatialAlternatedPitch,4,4,,5,2,1
06/09/2021 16:10:32,32.40097,0.1824875,0.03002644,0.1800003,4,2,spatialAlternatedPitch,4,4,,5,2,1
06/09/2021 16:10:32,33.28277,0.1306891,0.01332283,0.1300082,5,2,spatialAlternatedPitch,4,4,,5,2,1
06/09/2021 16:10:32,14.54996,0.1030771,0.09499961,0.0399996,6,2,spatialAlternatedPitch,4,4,,5,2,1
06/09/2021 16:10:32,28.48381,0.03217828,0.01166868,0.02998805,7,2,spatialAlternatedPitch,4,4,,5,2,1
06/09/2021 16:10:32,38.81676,0.0311358,0.008334756,0.02999949,8,2,spatialAlternatedPitch,4,4,,5,2,1
06/09/2021 16:10:32,15.58321,0.1133204,0.1133204,5.96E-08,9,2,spatialAlternatedPitch,4,4,,5,2,1
06/09/2021 16:10:32,20.1338,0.07007866,0.003321171,0.06999992,10,2,spatialAlternatedPitch,4,4,,5,2,1
16/09/2021 14:48:21,26.57635,0.5686957,0.4949899,0.2799996,1,2,spatialAlternatedPitch,7,4,9/16/2021 15:21:03,5,2,1
16/09/2021 14:48:21,19.21893,0.656568,0.5616775,0.34,2,2,spatialAlternatedPitch,7,4,,5,2,1
16/09/2021 14:48:21,49.9166,4.250057,4.25001,0.01999528,3,2,spatialAlternatedPitch,7,4,,5,2,1
16/09/2021 14:48:21,24.94174,2.296757,2.294993,0.08999872,4,2,spatialAlternatedPitch,7,4,,5,2,1
16/09/2021 14:48:21,32.81635,0.86483,0.8550034,0.1300004,5,2,spatialAlternatedPitch,7,4,,5,2,1
16/09/2021 14:48:21,36.67011,0.6171693,0.4699912,0.4000077,6,2,spatialAlternatedPitch,7,4,,5,2,1
16/09/2021 14:48:21,98.09791,2.797232,0.4548988,2.759995,7,2,spatialAlternatedPitch,7,4,,5,2,1
16/09/2021 14:48:21,30.88132,0.4717687,0.4716629,0.009990215,8,2,spatialAlternatedPitch,7,4,,5,2,1
16/09/2021 14:48:21,22.889,0.7244999,0.6800013,0.2499967,9,2,spatialAlternatedPitch,7,4,,5,2,1
16/09/2021 14:48:21,27.02654,1.43,0.5499955,1.320002,10,2,spatialAlternatedPitch,7,4,,5,2,1
19/08/2021 2:25:19 p.m.,5.84,1.60,0.40,1.55,1,2,spatialAlternatedPitch,2,4,8/18/2021 23:21:52,5,2,1
19/08/2021 2:25:19 p.m.,2.41,4.59,0.26,4.58,2,2,spatialAlternatedPitch,2,4,,5,2,1
19/08/2021 2:25:19 p.m.,1.08,3.75,0.02,3.75,3,2,spatialAlternatedPitch,2,4,,5,2,1
19/08/2021 2:25:19 p.m.,3.10,2.00,0.16,1.99,4,2,spatialAlternatedPitch,2,4,,5,2,1
19/08/2021 2:25:19 p.m.,3.36,2.39,0.15,2.39,5,2,spatialAlternatedPitch,2,4,,5,2,1
19/08/2021 2:25:19 p.m.,2.58,2.58,0.18,2.57,6,2,spatialAlternatedPitch,2,4,,5,2,1
19/08/2021 2:25:19 p.m.,6.49,1.18,0.15,1.17,7,2,spatialAlternatedPitch,2,4,,5,2,1
19/08/2021 2:25:19 p.m.,3.38,2.51,0.33,2.49,8,2,spatialAlternatedPitch,2,4,,5,2,1
19/08/2021 2:25:19 p.m.,3.44,3.35,0.33,3.33,9,2,spatialAlternatedPitch,2,4,,5,2,1
19/08/2021 2:25:19 p.m.,3.31,2.43,0.08,2.43,10,2,spatialAlternatedPitch,2,4,,5,2,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Avg 2D distance,musicalTheoryRating,,
,,,,,,,,,,#DIV/0!,7,,
,Time (s),2D Dist,X Dist,Y Dist,,,,,,#DIV/0!,6,,
N = 170,19.32,4.02,0.54,3.68,,,,,,6.419972274,5,,
,,,,,,,,,,#DIV/0!,4,,
,,,X target,Y target,2D target,,,,,1.27737088,3,,
,Acc:,,0.9333333333,0.5555555556,0.5111111111,,,,,2.63366471,2,,
,,,,,,,,,,#DIV/0!,1,,
BVI ONLY,Time (s),2D Dist,X Dist,Y Dist,,,,,,,,,
N = 20,3.50,2.64,0.20,2.62,,less error-prone,,,,,,,
,,,,,,,,,,Avg 2D distance,musicalTheoryRating,,
,,,X target,Y target,2D target,,,,60,4.705771809,Some/High,,
,Acc:,,1,0.3,0.3,more accurate,,,30,2.63366471,Low/None,,
,,,,,,,,,,,,,
SIGHTED ONLY,Time (s),2D Dist,X Dist,Y Dist,,,,,,,,,
N = 150,21.30,4.19,0.59,3.81,,,,,,Avg 2D distance,Audio speed,,
,,,,,,,,,0,#DIV/0!,Faster than regular audio speed,,
,,,X target,Y target,2D target,,,,90,4.015069443,Regular audio speed,,
,Acc:,,0.925,0.5875,0.5111111111,,,,,,,,
